energy,unc_en,intensity_%,unc_i,type,start level energy  [keV],  end level energy  [keV], multipolarity, mixing ratio, unc, conversion coeff. ,unc, parent Z, N, symbol, parent energy shift,parent energy  [keV] , unc, jp,  half_life, half-life operator,unc,unit, half_life [s], unc, decay, decay %, unc,Q , unc, Z,N, symbol ,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
103.568,0.018,22.8,6.47715987142513,G,103.561,0.0,E2,,,3.40,,74,106,W,,1529.05,0.04,8-,5.47,,9,ms,0.00547,0.00009,IT,100,,,,74,106,W,1-Feb-2015,E.A. MCCUTCHAN,2024-01-29
233.99,0.03,114,25.670216204777084,G,337.559,103.561,E2,,,0.184,,74,106,W,,1529.05,0.04,8-,5.47,,9,ms,0.00547,0.00009,IT,100,,,,74,106,W,1-Feb-2015,E.A. MCCUTCHAN,2024-01-29
350.898,0.007,115.14,25.87649319363039,G,688.46,337.559,E2,,,0.0538,,74,106,W,,1529.05,0.04,8-,5.47,,9,ms,0.00547,0.00009,IT,100,,,,74,106,W,1-Feb-2015,E.A. MCCUTCHAN,2024-01-29
390.581,0.015,114,24.742158353708756,G,1529.05,1138.47,E1,,,0.01230,,74,106,W,,1529.05,0.04,8-,5.47,,9,ms,0.00547,0.00009,IT,100,,,,74,106,W,1-Feb-2015,E.A. MCCUTCHAN,2024-01-29
450.018,0.02,133.38,28.413421124531975,G,1138.47,688.46,E2,,,0.0274,,74,106,W,,1529.05,0.04,8-,5.47,,9,ms,0.00547,0.00009,IT,100,,,,74,106,W,1-Feb-2015,E.A. MCCUTCHAN,2024-01-29
9.74,,24.3096186375,3.995867401822866,X,,,,,,,,74,106,W,,1529.05,0.04,8-,5.47,,9,ms,0.00547,0.00009,IT,100,,,,74,106,W,1-Feb-2015,E.A. MCCUTCHAN,2024-01-29
57.983,,10.929762642187768,1.7016380815854768,X,,,,,,,,74,106,W,,1529.05,0.04,8-,5.47,,9,ms,0.00547,0.00009,IT,100,,,,74,106,W,1-Feb-2015,E.A. MCCUTCHAN,2024-01-29
59.32,,18.985170474531472,2.9546222392782897,X,,,,,,,,74,106,W,,1529.05,0.04,8-,5.47,,9,ms,0.00547,0.00009,IT,100,,,,74,106,W,1-Feb-2015,E.A. MCCUTCHAN,2024-01-29
67.335,,6.292937264741568,0.9841094815354827,X,,,,,,,,74,106,W,,1529.05,0.04,8-,5.47,,9,ms,0.00547,0.00009,IT,100,,,,74,106,W,1-Feb-2015,E.A. MCCUTCHAN,2024-01-29
68.117,,8.017202075280757,1.2533605928986118,X,,,,,,,,74,106,W,,1529.05,0.04,8-,5.47,,9,ms,0.00547,0.00009,IT,100,,,,74,106,W,1-Feb-2015,E.A. MCCUTCHAN,2024-01-29
69.068,,1.7242648105391896,0.27147558028466817,X,,,,,,,,74,106,W,,1529.05,0.04,8-,5.47,,9,ms,0.00547,0.00009,IT,100,,,,74,106,W,1-Feb-2015,E.A. MCCUTCHAN,2024-01-29